plot,Achillea_millefolium,Acinos_arvensis,Agrimonia_eupatoria,Agrostis_stolonifera,Ajuga_reptans,Allium_scorodoprasum,Alopecurus_pratensis,Angelica_sylvestris,Anthericum_ramosum,Anthoxanthum_odoratum,Anthyllis_vulneraria,Arabis_hirsuta,Arenaria_serpyllifolia,Arrhenatherum_elatius,Artemisia_vulgaris,Barbarea_vulgaris,Brachypodium_pinnatum,Briza_media,Bromus_erectus,Bromus_hordeaceus,Bromus_inermis,Bromus_sterilis,Calamagrostis_epigejos,Calystegia_sepium,Campanula_trachelium,Capsella_bursa-pastoris,Carex_caryophyllea,Carex_flacca,Carex_hirta,Carex_muricata,Carex_praecox_ssp_praecox,Centaurea_jacea,Centaurea_scabiosa,Cerastium_arvense,Cerastium_fontanum_ssp_vulgare,Cerastium_glomeratum,Cichorium_intybus,Cirsium_arvense,Clinopodium_vulgare,Convolvulus_arvensis,Cota_tinctoria,Crepis_biennis,Crepis_capillaris,Cynosurus_cristatus,Dactylis_glomerata,Daucus_carota,Deschampsia_cespitosa,Dianthus_carthusianorum,Echium_vulgare,Elymus_repens,Equisetum_arvense,Erigeron_annuus,Euphorbia_cyparissias,Euphorbia_esula,Euphorbia_verrucosa,Festuca_ovina,Festuca_pratensis,Festuca_rubra,Filipendula_vulgaris,Fragaria_vesca,Galium_mollugo,Galium_verum,Geranium_dissectum,Geranium_pyrenaicum,Geum_urbanum,Helianthemum_nummularium,Helictotrichon_pubescens,Heracleum_sphondylium,Holcus_lanatus,Hypericum_perforatum,Hypochaeris_radicata,Knautia_arvensis,Koeleria_pyramidata,Lactuca_serriola,Lathyrus_pratensis,Lathyrus_sylvestris,Leontodon_hispidus,Lepidium_ruderale,Leucanthemum_vulgare,Lolium_perenne,Lotus_corniculatus,Lysimachia_nummularia,Malva_moschata,Medicago_falcata,Medicago_lupulina,Medicago_sativa,Myosotis_arvensis,Nardus_stricta,Onobrychis_viciifolia,Ononis_spinosa,Ononis_spinosa_ssp_procurrens,Origanum_vulgare,Orobanche_spec,Papaver_rhoeas,Persicaria_amphibia,Peucedanum_officinale,Phalaris_arundinacea,Phleum_phleoides,Phleum_pratense,Pimpinella_saxifraga,Plantago_lanceolata,Plantago_media,Poa_angustifolia,Poa_annua,Poa_compressa,Poa_pratensis,Poa_trivialis,Polygonatum_multiflorum,Potentilla_anserina,Potentilla_argentea,Potentilla_grandiflora,Potentilla_recta,Potentilla_reptans,Prunella_vulgaris,Ranunculus_acris,Ranunculus_bulbosus,Ranunculus_repens,Reseda_lutea,Rhinanthus_minor,Rosa_canina,Rubus_caesius,Rumex_acetosa,Rumex_crispus,Rumex_obtusifolius,Salvia_nemorosa,Salvia_pratensis,Sanguisorba_minor,Sanguisorba_officinalis,Saponaria_officinalis,Scrophularia_umbrosa,Securigera_varia,Sedum_sexangulare,Setaria_viridis,Silene_dioica,Silene_gallica,Silene_latifolia_ssp_alba,Silene_vulgaris,Sisymbrium_officinale,Solidago_gigantea,Sonchus_asper,Stachys_officinalis,Stellaria_graminea,Symphytum_officinale,Tanacetum_vulgare,Taraxacum_campylodes,Thalictrum_minus,Thymus_pulegioides,Trifolium_campestre,Trifolium_dubium,Trifolium_medium,Trifolium_pratense,Trifolium_repens,Tripleurospermum_maritimum,Trisetum_flavescens,Urtica_dioica,Verbascum_lychnitis,Verbascum_nigrum,Verbena_officinalis,Veronica_arvensis,Veronica_chamaedrys,Veronica_persica,Vicia_cracca,Vicia_hirsuta,Vicia_sativa_ssp_nigra,Vicia_tetrasperma,Vicia_villosa_ssp_varia
01,0.5,0,2,0,0,0,0,0,0,0,0,0.5,4,4,0,0,0,0,18.8,0,8.8,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,2,0,0.5,0,0,0.5,0,0,4,0,0,0.5,2,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8.8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
02,2,0,4,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,18.8,2,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,2,0,0.5,0.5,0,0,0,2,0,0,0,0,0,2,0.5,0,0.5,0,0,0,0,0.1,0,0,0.5,8.8,4,0,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.5,0,2,0,0,18.8,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.5,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
03,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.8,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0.5,0,8.8,0,0,0,4,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,8.8,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0.5,0.5,0,0,0,0,0,0,0,4,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,8.8,2,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,2,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,37.5,0,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
05,8.8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
06,4,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,0,0.5,0.5,0,0,2,0,0,0.5,0,0,0,0,0,0.5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,37.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,2,4,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
09,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
10,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0
11,18.8,0,0,0,2,0,0,0,0,4,0.5,0,0,18.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0.5,2,0,0,0.1,0,0,0,0,0,0,2,2,0,0,0,0.5,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0.1,0,0,0,2,0,0,0.5,0,0,0,0.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0
12,8.8,0,0,0,0,0,0,0,0,0,8.8,0,8.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,4,0,8.8,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0.5,0,0,0,0,0,0,0
14,8.8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,4,0.5,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,8.8,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8.8,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0.5,0.5,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,8.8,0,18.8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,4,0,8.8,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0.5,0,0.5,0,0,0,0,0
22,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0.5,0,0.5,0,0,0,62.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0.5,0,0
23,2,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,8.8,0,0,0.5,0,8.8,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0.5,0.5,0,0,8.8,2,4,0,0,2,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,2,0,2,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,4,0,0.1,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.1,2,0,0.5,2,0,0,0,0,0,0.5,2,0,0
24,2,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,8.8,0.5,8.8,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0.5,0,0,0,8.8,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.5,8.8,0,0,0,0,0,2,0,0.5,0.5,0,0.5,0,0,0,0,2,0,0
27,4,0,0,0,0,0,0,0,0,0.5,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0.5,0,0,0,4,2,8.8,0,0,2,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,4,0,0.5,0,0,8.8,0,0.1,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5
28,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,2,0,0,0,0,0,8.8,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5
