plot,Achillea_millefolium,Agrimonia_eupatoria,Agrostis_capillaris,Agrostis_stolonifera,Ajuga_reptans,Allium_scorodoprasum,Alopecurus_pratensis,Anthoxanthum_odoratum,Anthriscus_sylvestris,Anthyllis_vulneraria,Arabis_hirsuta,Arenaria_serpyllifolia,Arrhenatherum_elatius,Artemisia_vulgaris,Brachypodium_pinnatum,Brassica_rapa,Briza_media,Bromus_erectus,Bromus_hordeaceus,Bromus_inermis,Calystegia_sepium,Carex_acutiformis,Carex_caryophyllea,Carex_flacca,Carex_hirta,Carex_muricata,Carex_panicea,Carex_praecox_ssp_praecox,Centaurea_jacea,Centaurium_erythraea,Cerastium_arvense,Cerastium_fontanum_ssp_vulgare,Cerastium_glomeratum,Chaerophyllum_bulbosum,Chenopodium_album,Cichorium_intybus,Cirsium_arvense,Cirsium_vulgare,Clinopodium_vulgare,Cota_tinctoria,Crepis_biennis,Crepis_capillaris,Cynosurus_cristatus,Dactylis_glomerata,Daucus_carota,Deschampsia_cespitosa,Dianthus_carthusianorum,Echium_vulgare,Elymus_repens,Equisetum_arvense,Erigeron_annuus,Euphorbia_cyparissias,Euphorbia_esula,Festuca_arundinacea,Festuca_ovina,Festuca_pratensis,Festuca_rubra,Filipendula_vulgaris,Galium_mollugo,Galium_verum,Geranium_dissectum,Geranium_pyrenaicum,Holcus_lanatus,Hypericum_perforatum,Hypochaeris_radicata,Knautia_arvensis,Koeleria_pyramidata,Lathyrus_pratensis,Lathyrus_sylvestris,Leontodon_hispidus,Leucanthemum_vulgare,Linaria_vulgaris,Lolium_perenne,Lotus_corniculatus,Lysimachia_nummularia,Malva_moschata,Medicago_falcata,Medicago_lupulina,Medicago_minima,Medicago_sativa,Mentha_longifolia,Onobrychis_viciifolia,Ononis_spinosa,Ononis_spinosa_ssp_procurrens,Origanum_vulgare,Orobanche_spec,Persicaria_amphibia,Peucedanum_officinale,Phleum_phleoides,Phleum_pratense,Pimpinella_saxifraga,Plantago_lanceolata,Plantago_major_ssp_intermedia,Poa_angustifolia,Poa_annua,Poa_compressa,Poa_pratensis,Poa_trivialis,Polygonum_aviculare,Potentilla_anserina,Potentilla_argentea,Potentilla_reptans,Prunella_vulgaris,Ranunculus_acris,Ranunculus_bulbosus,Ranunculus_repens,Rubus_caesius,Rumex_acetosa,Rumex_crispus,Rumex_obtusifolius,Salvia_nemorosa,Salvia_pratensis,Sanguisorba_minor,Sanguisorba_officinalis,Saponaria_officinalis,Scabiosa_columbaria,Securigera_varia,Sedum_sexangulare,Silene_latifolia_ssp_alba,Silene_vulgaris,Solidago_canadensis,Solidago_gigantea,Stachys_officinalis,Stellaria_graminea,Symphytum_officinale,Tanacetum_vulgare,Taraxacum_campylodes,Thymus_pulegioides,Tragopogon_pratensis,Trifolium_campestre,Trifolium_dubium,Trifolium_medium,Trifolium_pratense,Trifolium_repens,Trisetum_flavescens,Verbascum_blattaria,Verbascum_lychnitis,Verbascum_nigrum,Verbena_officinalis,Veronica_arvensis,Veronica_chamaedrys,Vicia_cracca,Vicia_hirsuta,Vicia_sativa_ssp_nigra,Vicia_tetrasperma
14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0.5,0,0,0.5,0,0,0,4,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0.1,0
22,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,37.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
23,0.5,0.1,0,0,0,0,0,0.5,0,0.1,0,0,2,0,0.5,0,0,8.8,0,0.5,0,0.1,0,0,0.1,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.5,2,8.8,0,4,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,4,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0.1,0
24,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,37.5,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0
27,4,0,0,0,0,0,0,0.5,0,0,0,0,8.8,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,8.8,37.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0.5,0,0,0,2,4,0,0,0,0,0,0,0.5,0.5,0.5,0
28,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,18.8,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,2,0,0,0,0,0,8.8,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.1,0.5,0,0,0.5,0,0.5,0,0,0,2,18.8,8.8,0.1,4,0,0,0,2,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,2,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,2,0,0,0.1,0
39,37.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,2,0.5,0,0,0,0,2,2,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,2,2,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,8.8,0,0.1,0,0.5,0,0.1,0.5,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,4,0,62.5,0,0,0,4,0,0,0,0.5,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0.5,0,0,0,2,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0,0.5,0.1,0,8.8,18.8,0,0.5,0,0,0,0,0.5,0,0,0,0,8.8,8.8,0.5,0,0,0,0,0.5,0,0,0,0,0,0,2,18.8,0,0.5,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0
41,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.8,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,2,8.8,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,18.8,0,4,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
42,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0.1,0,2,18.8,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18.8,0,0.5,0,0,0,2,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
43,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,18.8,0,0,37.5,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,4,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
44,0.5,0,0,2,0.5,0,0,0,0,0.5,0,0,37.5,0,37.5,0,0,0,0,18.8,0,0,4,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0.5,0,0,0,0,8.8,8.8,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,18.8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0.5,0,0,0,18.8,8.8,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0
46,0.5,0.1,0,0,0.5,0,0,0,0,0,0,0,4,0,18.8,0,0,0.5,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0.5,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
51,4,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,8.8,0,0,0,0.5,0,0,0.5,0,0,0,0.5,18.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,0.5,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,8.8,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.1,0,0,0
55,8.8,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,37.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,18.8,0,0,0,0,4,0.5,0,0,0,0.1,8.8,0,2,0,0.5,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
56,0.5,0.5,0,0,0,0,0,2,0,8.8,0,0,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0,0,8.8,0,0,0,0.5,0.5,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,2,0,0,8.8,0,0,0,8.8,0,0.5,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,2,0,0,0.5,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0.5,4,0,0,0,0,0,0,0.5,0,0,0
61,0.5,4,0,0,0.5,0,0,2,0,2,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.1,0,0,62.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0.5,0,0,0
62,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,8.8,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,18.8,0,0,0.5,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,37.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
63,2,0.5,0,0,0,0,0,0,0,0.5,0.5,0,4,0,37.5,0,0,0.5,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,2,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,2,2,2,0,2,0.5,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0.5,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,18.8,0,0,0,8.8,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0
64,0,0,0,0,0,0,0,0,0,2,0,0,8.8,0,0,0,0.5,4,0,2,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5,8.8,0,2,0,2,2,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,2,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
