plot,Achillea_millefolium,Acinos_arvensis,Aegopodium_podagraria,Agrimonia_eupatoria,Agrostis_capillaris,Agrostis_gigantea,Agrostis_stolonifera,Ajuga_reptans,Allium_scorodoprasum,Allium_vineale,Alopecurus_pratensis,Anthoxanthum_odoratum,Anthyllis_vulneraria,Arabis_hirsuta,Arenaria_serpyllifolia,Arrhenatherum_elatius,Artemisia_vulgaris,Bellis_perennis,Brachypodium_pinnatum,Briza_media,Bromus_erectus,Bromus_hordeaceus,Bromus_inermis,Bromus_sterilis,Calystegia_sepium,Campanula_patula,Campanula_rotundifolia,Carduus_acanthoides,Carex_caryophyllea,Carex_flacca,Carex_hirta,Carex_muricata,Carex_panicea,Carex_praecox_ssp_praecox,Centaurea_jacea,Cerastium_fontanum_ssp_vulgare,Cerastium_glomeratum,Cichorium_intybus,Cirsium_arvense,Clinopodium_vulgare,Colchicum_autumnale,Convolvulus_arvensis,Cota_tinctoria,Crepis_biennis,Crepis_capillaris,Cynosurus_cristatus,Dactylis_glomerata,Daucus_carota,Deschampsia_cespitosa,Dianthus_carthusianorum,Dianthus_deltoides,Dipsacus_fullonum,Echium_vulgare,Elymus_repens,Equisetum_arvense,Erigeron_annuus,Euphorbia_cyparissias,Euphorbia_esula,Festuca_ovina,Festuca_pratensis,Festuca_rubra,Filipendula_vulgaris,Fragaria_vesca,Galium_mollugo,Galium_verum,Geranium_dissectum,Geranium_molle,Geranium_pusillum,Helianthemum_nummularium,Holcus_lanatus,Hypericum_perforatum,Hypochaeris_radicata,Jacobaea_vulgaris,Knautia_arvensis,Lathyrus_pratensis,Leontodon_hispidus,Leucanthemum_vulgare,Linum_catharticum,Lolium_perenne,Lotus_corniculatus,Lysimachia_nummularia,Medicago_falcata,Medicago_lupulina,Medicago_sativa,Mentha_longifolia,Myosotis_arvensis,Nardus_stricta,Onobrychis_viciifolia,Origanum_vulgare,Orobanche_spec,Papaver_rhoeas,Peucedanum_officinale,Phleum_phleoides,Phleum_pratense,Pimpinella_major,Pimpinella_saxifraga,Plantago_lanceolata,Plantago_major_ssp_intermedia,Poa_angustifolia,Poa_annua,Poa_compressa,Poa_pratensis,Poa_trivialis,Potentilla_anserina,Potentilla_argentea,Potentilla_grandiflora,Potentilla_recta,Potentilla_reptans,Prunella_vulgaris,Ranunculus_acris,Ranunculus_bulbosus,Ranunculus_repens,Ranunculus_serpens_ssp_nemorosus,Reseda_lutea,Rhinanthus_glacialis,Rhinanthus_serotinus,Rosa_canina,Rubus_caesius,Rumex_acetosa,Rumex_crispus,Rumex_obtusifolius,Salvia_nemorosa,Salvia_pratensis,Sanguisorba_minor,Sanguisorba_officinalis,Scabiosa_columbaria,Securigera_varia,Sedum_acre,Sedum_sexangulare,Silene_latifolia_ssp_alba,Silene_vulgaris,Solidago_canadensis,Solidago_gigantea,Sonchus_asper,Stachys_palustris,Symphytum_officinale,Tanacetum_vulgare,Taraxacum_campylodes,Thymus_pulegioides,Trifolium_campestre,Trifolium_pratense,Trifolium_repens,Trisetum_flavescens,Urtica_dioica,Verbascum_blattaria,Verbascum_lychnitis,Verbascum_thapsus,Verbena_officinalis,Veronica_arvensis,Veronica_chamaedrys,Vicia_cracca,Vicia_hirsuta,Vicia_sativa_ssp_nigra,Vicia_sepium,Vicia_tetrasperma,Vicia_villosa_ssp_varia
56,0.5,0,0,0.5,0,0,0,0,0,0,0,2,0.5,0,0,2,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,2,0,2,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,2,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0.5,4,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.1,4,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,8.8,0,0,0,0,0,0,0,0.5,0,0,0,0,0
61,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.1,0,0,0.5,0.5,0,62.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0
62,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,37.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0
63,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.1,0.5,2,0,0,8.8,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0,18.8,2,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,18.8,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
64,0.5,0,0,0.1,0,0,0,0,0,0,0,2,0.5,0,0.5,2,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0.5,2,0,0,0,0,0,0.5,0,0.5,0,0,4,0.5,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,2,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,18.8,0,0,0,0,37.5,2,0,0,2,0.5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
66,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,18.8,0,0,0,0,0,0,2,0,0,0,0,0,37.5,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
67,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,18.8,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0.1,0,0,0.5,0,0,0,0,0,0,0.5,0,4,0,0.5,2,2,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0.5,2,0.5,0.1,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,4,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0
68,0.5,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,2,0,0,37.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,4,0,0,2,0,0.1,0.1,0,0,0,0,0.5,0,0,0,0,0
70,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.1,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
